,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
0,,Afghanistan,2021-06-14,641295,482952.0,158343.0,2021/06/14,4.0
1,,Albania,2021-06-14,830281,501735.0,328546.0,2021/06/14,8.0
2,,Algeria,2021-06-14,2500000,2500000.0,0.0,2021/06/14,12.0
3,,Andorra,2021-06-14,41481,30535.0,10938.0,2021/06/14,20.0
4,,Angola,2021-06-14,1222630,774926.0,447704.0,2021/06/14,24.0
5,,Antigua and Barbuda,2021-06-14,58074,34644.0,23430.0,2021/06/14,28.0
6,,Argentina,2021-06-14,16286902,12879690.0,3223051.0,2021/06/14,32.0
7,Autonomous City of Buenos Aires,Argentina,2021-06-14,1485937,,,2021/06/14,3201.0
8,Buenos Aires,Argentina,2021-06-14,6031321,,,2021/06/14,3202.0
9,Catamarca,Argentina,2021-06-14,148962,,,2021/06/14,3203.0
10,Chaco,Argentina,2021-06-14,399202,,,2021/06/14,3204.0
11,Chubut,Argentina,2021-06-14,201054,,,2021/06/14,3205.0
12,Cordoba,Argentina,2021-06-14,1370350,,,2021/06/14,3207.0
13,Corrientes,Argentina,2021-06-14,376857,,,2021/06/14,3206.0
14,Entre Rios,Argentina,2021-06-14,465234,,,2021/06/14,3208.0
15,Formosa,Argentina,2021-06-14,202288,,,2021/06/14,3209.0
16,Jujuy,Argentina,2021-06-14,312521,,,2021/06/14,3210.0
17,La Pampa,Argentina,2021-06-14,158424,,,2021/06/14,3211.0
18,La Rioja,Argentina,2021-06-14,150342,,,2021/06/14,3212.0
19,Mendoza,Argentina,2021-06-14,698110,,,2021/06/14,3213.0
20,Misiones,Argentina,2021-06-14,355502,,,2021/06/14,3214.0
21,Neuquen,Argentina,2021-06-14,240935,,,2021/06/14,3215.0
22,Rio Negro,Argentina,2021-06-14,283432,,,2021/06/14,3216.0
23,Salta,Argentina,2021-06-14,494680,,,2021/06/14,3217.0
24,San Juan,Argentina,2021-06-14,264080,,,2021/06/14,3218.0
25,San Luis,Argentina,2021-06-14,217614,,,2021/06/14,3219.0
26,Santa Cruz,Argentina,2021-06-14,131457,,,2021/06/14,3220.0
27,Santa Fe,Argentina,2021-06-14,1260103,,,2021/06/14,3221.0
28,Santiago del Estero,Argentina,2021-06-14,351687,,,2021/06/14,3222.0
29,Tierra del Fuego,Argentina,2021-06-14,67782,,,2021/06/14,3223.0
30,Tucuman,Argentina,2021-06-14,619028,,,2021/06/14,3224.0
31,,Armenia,2021-06-14,46503,46503.0,0.0,2021/06/14,51.0
32,,Australia,2021-06-14,5773924,5090527.0,683397.0,2021/06/14,36.0
33,,Austria,2021-06-14,6243115,4189749.0,2130095.0,2021/06/14,40.0
34,,Azerbaijan,2021-06-14,2742867,1783506.0,959361.0,2021/06/14,31.0
35,,Bahamas,2021-06-14,62183,48434.0,13749.0,2021/06/14,44.0
36,,Bahrain,2021-06-14,1883641,1023463.0,860178.0,2021/06/14,48.0
37,,Bangladesh,2021-06-14,10062784,5823245.0,4235398.0,2021/06/14,50.0
38,Barisal,Bangladesh,2021-06-14,430221,,,2021/06/14,5001.0
39,Chittagong,Bangladesh,2021-06-14,2051068,,,2021/06/14,5002.0
40,Dhaka,Bangladesh,2021-06-14,3298075,,,2021/06/14,5003.0
41,Khulna,Bangladesh,2021-06-14,1220075,,,2021/06/14,5004.0
42,Mymensingh,Bangladesh,2021-06-14,478822,,,2021/06/14,5005.0
43,Rajshahi,Bangladesh,2021-06-14,1077917,,,2021/06/14,5006.0
44,Rangpur,Bangladesh,2021-06-14,984683,,,2021/06/14,5007.0
45,Sylhet,Bangladesh,2021-06-14,521923,,,2021/06/14,5008.0
46,Unassigned,Bangladesh,2021-06-14,0,,,2021/06/14,5009.0
47,,Barbados,2021-06-14,147036,85175.0,61861.0,2021/06/14,52.0
48,,Belarus,2021-06-14,924926,610988.0,313938.0,2021/06/14,112.0
49,,Belgium,2021-06-14,8534207,5528994.0,2970665.0,2021/06/14,56.0
50,,Belize,2021-06-14,80121,67851.0,12270.0,2021/06/14,84.0
51,,Bhutan,2021-06-14,483699,482716.0,0.0,2021/06/14,64.0
52,,Bolivia,2021-06-14,2065191,1542588.0,522603.0,2021/06/14,68.0
53,,Bosnia and Herzegovina,2021-06-14,232706,188848.0,43858.0,2021/06/14,70.0
54,,Botswana,2021-06-14,150019,150019.0,0.0,2021/06/14,72.0
55,,Brazil,2021-06-14,73289340,53224020.0,23534567.0,2021/06/14,76.0
56,Acre,Brazil,2021-06-14,223355,,,2021/06/14,7601.0
57,Alagoas,Brazil,2021-06-14,1125179,,,2021/06/14,7602.0
58,Amapa,Brazil,2021-06-14,208429,,,2021/06/14,7603.0
59,Amazonas,Brazil,2021-06-14,1209626,,,2021/06/14,7604.0
60,Bahia,Brazil,2021-06-14,4929582,,,2021/06/14,7605.0
61,Ceara,Brazil,2021-06-14,2452452,,,2021/06/14,7606.0
62,Distrito Federal,Brazil,2021-06-14,987540,,,2021/06/14,7607.0
63,Espirito Santo,Brazil,2021-06-14,1684588,,,2021/06/14,7608.0
64,Goias,Brazil,2021-06-14,2394963,,,2021/06/14,7609.0
65,Maranhao,Brazil,2021-06-14,2201610,,,2021/06/14,7610.0
66,Mato Grosso,Brazil,2021-06-14,1027373,,,2021/06/14,7611.0
67,Mato Grosso do Sul,Brazil,2021-06-14,1273319,,,2021/06/14,7612.0
68,Minas Gerais,Brazil,2021-06-14,7282607,,,2021/06/14,7613.0
69,Para,Brazil,2021-06-14,2035041,,,2021/06/14,7614.0
70,Paraiba,Brazil,2021-06-14,1442477,,,2021/06/14,7615.0
71,Parana,Brazil,2021-06-14,4457753,,,2021/06/14,7616.0
72,Pernambuco,Brazil,2021-06-14,2926467,,,2021/06/14,7617.0
