,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
294,Podlaskie,Poland,2021-06-13,750522,,,2021/06/13,61610.0
295,Pomorskie,Poland,2021-06-13,1595718,,,2021/06/13,61611.0
296,Slaskie,Poland,2021-06-13,2906510,,,2021/06/13,61612.0
297,Swietokrzyskie,Poland,2021-06-13,677227,,,2021/06/13,61613.0
298,Warminsko-mazurskie,Poland,2021-06-13,797837,,,2021/06/13,61614.0
299,Wielkopolskie,Poland,2021-06-13,2134728,,,2021/06/13,61615.0
300,Zachodniopomorskie,Poland,2021-06-13,1133101,,,2021/06/13,61616.0
301,,Portugal,2021-06-13,6713043,4400089.0,2312926.0,2021/06/13,620.0
302,,Qatar,2021-06-13,2768028,1578669.0,1189359.0,2021/06/13,634.0
303,,Romania,2021-06-13,8425239,4514587.0,4104965.0,2021/06/13,642.0
304,,Russia,2021-06-13,32817643,18274820.0,13992323.0,2021/06/13,643.0
305,,Rwanda,2021-06-13,400096,350400.0,49696.0,2021/06/13,646.0
306,,Saint Kitts and Nevis,2021-06-13,31054,21469.0,9585.0,2021/06/13,659.0
307,,Saint Lucia,2021-06-13,49735,29366.0,20369.0,2021/06/13,662.0
308,,Saint Vincent and the Grenadines,2021-06-13,22746,18417.0,0.0,2021/06/13,670.0
309,,San Marino,2021-06-13,43471,21768.0,21703.0,2021/06/13,674.0
310,,Sao Tome and Principe,2021-06-13,23644,12374.0,11270.0,2021/06/13,678.0
311,,Saudi Arabia,2021-06-13,15722162,0.0,0.0,2021/06/13,682.0
312,,Senegal,2021-06-13,545915,474136.0,71779.0,2021/06/13,686.0
313,,Serbia,2021-06-13,4882120,2632697.0,2249423.0,2021/06/13,688.0
314,,Seychelles,2021-06-13,137196,70653.0,66543.0,2021/06/13,690.0
315,,Sierra Leone,2021-06-13,88523,75667.0,12856.0,2021/06/13,694.0
316,,Singapore,2021-06-13,4392067,2503814.0,1888253.0,2021/06/13,702.0
317,,Slovakia,2021-06-13,2943214,1863764.0,1070591.0,2021/06/13,703.0
318,,Slovenia,2021-06-13,1294610,756380.0,538230.0,2021/06/13,705.0
319,,Solomon Islands,2021-06-13,17065,17000.0,3479.0,2021/06/13,90.0
320,,South Africa,2021-06-13,1767415,642946.0,480665.0,2021/06/13,710.0
321,,South Sudan,2021-06-13,11889,11889.0,0.0,2021/06/13,728.0
322,,Spain,2021-06-13,32282553,20963619.0,12250002.0,2021/06/13,724.0
323,,Sri Lanka,2021-06-13,2632706,2156935.0,387438.0,2021/06/13,144.0
324,,Sudan,2021-06-13,483520,417209.0,66311.0,2021/06/13,729.0
325,,Suriname,2021-06-13,127078,90029.0,22171.0,2021/06/13,740.0
326,,Sweden,2021-06-13,6151465,4084788.0,2066677.0,2021/06/13,752.0
327,,Switzerland,2021-06-13,5785134,3573786.0,2211348.0,2021/06/13,756.0
328,,Syria,2021-06-13,71519,71519.0,0.0,2021/06/13,760.0
329,,Taiwan*,2021-06-13,799129,799129.0,0.0,2021/06/13,158.0
330,,Thailand,2021-06-13,5667058,4143444.0,1523614.0,2021/06/13,764.0
331,,Togo,2021-06-13,347246,270784.0,76462.0,2021/06/13,768.0
332,,Trinidad and Tobago,2021-06-13,159709,150213.0,9496.0,2021/06/13,780.0
333,,Tunisia,2021-06-13,1252125,899555.0,352570.0,2021/06/13,788.0
334,,Turkey,2021-06-13,33345367,19349257.0,13603734.0,2021/06/13,792.0
335,,US,2021-06-13,308112728,173391711.0,143119077.0,2021/06/13,840.0
336,,US (Aggregate),2021-06-13,307887921,173391711.0,143119077.0,2021/06/13,840.0
337,,Uganda,2021-06-13,788190,757664.0,4129.0,2021/06/13,800.0
338,,Ukraine,2021-06-13,1661410,1430990.0,230420.0,2021/06/13,804.0
339,,United Arab Emirates,2021-06-13,13785663,5081853.0,3836521.0,2021/06/13,784.0
340,,United Kingdom,2021-06-13,71335070,41088485.0,29165140.0,2021/06/13,826.0
341,Anguilla,United Kingdom,2021-06-13,14557,,,2021/06/13,660.0
342,Bermuda,United Kingdom,2021-06-13,74852,,,2021/06/13,60.0
343,Cayman Islands,United Kingdom,2021-06-13,86711,,,2021/06/13,136.0
344,England,United Kingdom,2021-06-13,59460783,,,2021/06/13,82601.0
345,Falkland Islands (Malvinas),United Kingdom,2021-06-13,4407,,,2021/06/13,238.0
346,Gibraltar,United Kingdom,2021-06-13,77753,,,2021/06/13,292.0
347,Isle of Man,United Kingdom,2021-06-13,89784,,,2021/06/13,833.0
348,Montserrat,United Kingdom,2021-06-13,2522,,,2021/06/13,500.0
349,Northern Ireland,United Kingdom,2021-06-13,1862979,,,2021/06/13,82602.0
350,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-13,7892,,,2021/06/13,654.0
351,Scotland,United Kingdom,2021-06-13,5880078,,,2021/06/13,82603.0
352,Wales,United Kingdom,2021-06-13,3538144,,,2021/06/13,82604.0
353,,Uruguay,2021-06-13,3247064,2076911.0,1147091.0,2021/06/13,858.0
354,,Uzbekistan,2021-06-13,2136423,1199354.0,443390.0,2021/06/13,860.0
355,,Venezuela,2021-06-13,739962,588066.0,151896.0,2021/06/13,862.0
356,,Vietnam,2021-06-13,1411548,1361525.0,50023.0,2021/06/13,704.0
357,,World,2021-06-13,2318074240,949019550.0,488655434.0,2021/06/13,
358,,Zambia,2021-06-13,147220,141829.0,5286.0,2021/06/13,894.0
359,,Zimbabwe,2021-06-13,1089506,690452.0,399054.0,2021/06/13,716.0
