,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
0,,Afghanistan,2021-06-10,641295,482952.0,158343.0,2021/06/10,4.0
1,,Albania,2021-06-10,803682,493346.0,310336.0,2021/06/10,8.0
2,,Algeria,2021-06-10,2500000,2500000.0,0.0,2021/06/10,12.0
3,,Andorra,2021-06-10,35926,27613.0,8303.0,2021/06/10,20.0
4,,Angola,2021-06-10,1115919,740289.0,375630.0,2021/06/10,24.0
5,,Antigua and Barbuda,2021-06-10,55578,34084.0,21494.0,2021/06/10,28.0
6,,Argentina,2021-06-10,14663805,11577809.0,3085996.0,2021/06/10,32.0
7,,Armenia,2021-06-10,33529,33529.0,0.0,2021/06/10,51.0
8,,Australia,2021-06-10,5203977,4568861.0,635116.0,2021/06/10,36.0
9,,Austria,2021-06-10,5921721,3990367.0,1881021.0,2021/06/10,40.0
10,,Azerbaijan,2021-06-10,2586410,1646054.0,940356.0,2021/06/10,31.0
11,,Bahamas,2021-06-10,55037,46378.0,8659.0,2021/06/10,44.0
12,,Bahrain,2021-06-10,1849847,1010162.0,839685.0,2021/06/10,48.0
13,,Bangladesh,2021-06-10,10046528,5823245.0,4217719.0,2021/06/10,50.0
14,Barisal,Bangladesh,2021-06-10,429802,,,2021/06/10,5001.0
15,Chittagong,Bangladesh,2021-06-10,2044765,,,2021/06/10,5002.0
16,Dhaka,Bangladesh,2021-06-10,3290556,,,2021/06/10,5003.0
17,Khulna,Bangladesh,2021-06-10,1219428,,,2021/06/10,5004.0
18,Mymensingh,Bangladesh,2021-06-10,478712,,,2021/06/10,5005.0
19,Rajshahi,Bangladesh,2021-06-10,1077128,,,2021/06/10,5006.0
20,Rangpur,Bangladesh,2021-06-10,984363,,,2021/06/10,5007.0
21,Sylhet,Bangladesh,2021-06-10,521774,,,2021/06/10,5008.0
22,Unassigned,Bangladesh,2021-06-10,0,,,2021/06/10,5009.0
23,,Barbados,2021-06-10,144312,82885.0,61427.0,2021/06/10,52.0
24,,Belarus,2021-06-10,796834,517151.0,279683.0,2021/06/10,112.0
25,,Belgium,2021-06-10,7830216,5189472.0,2587467.0,2021/06/10,56.0
26,,Belize,2021-06-10,80121,67851.0,12270.0,2021/06/10,84.0
27,,Bhutan,2021-06-10,483092,482716.0,0.0,2021/06/10,64.0
28,,Bolivia,2021-06-10,1878702,1470833.0,407869.0,2021/06/10,68.0
29,,Bosnia and Herzegovina,2021-06-10,232706,188848.0,43858.0,2021/06/10,70.0
30,,Botswana,2021-06-10,146725,71500.0,0.0,2021/06/10,72.0
31,,Brazil,2021-06-10,70232670,51055813.0,23485276.0,2021/06/10,76.0
32,Acre,Brazil,2021-06-10,212398,,,2021/06/10,7601.0
33,Alagoas,Brazil,2021-06-10,1081022,,,2021/06/10,7602.0
34,Amapa,Brazil,2021-06-10,201146,,,2021/06/10,7603.0
35,Amazonas,Brazil,2021-06-10,1174736,,,2021/06/10,7604.0
36,Bahia,Brazil,2021-06-10,4751235,,,2021/06/10,7605.0
37,Ceara,Brazil,2021-06-10,2364970,,,2021/06/10,7606.0
38,Distrito Federal,Brazil,2021-06-10,955164,,,2021/06/10,7607.0
39,Espirito Santo,Brazil,2021-06-10,1602931,,,2021/06/10,7608.0
40,Goias,Brazil,2021-06-10,2278054,,,2021/06/10,7609.0
41,Maranhao,Brazil,2021-06-10,2052978,,,2021/06/10,7610.0
42,Mato Grosso,Brazil,2021-06-10,981542,,,2021/06/10,7611.0
43,Mato Grosso do Sul,Brazil,2021-06-10,1212429,,,2021/06/10,7612.0
44,Minas Gerais,Brazil,2021-06-10,7039993,,,2021/06/10,7613.0
45,Para,Brazil,2021-06-10,1968069,,,2021/06/10,7614.0
46,Paraiba,Brazil,2021-06-10,1398603,,,2021/06/10,7615.0
47,Parana,Brazil,2021-06-10,4210283,,,2021/06/10,7616.0
48,Pernambuco,Brazil,2021-06-10,2797860,,,2021/06/10,7617.0
49,Piaui,Brazil,2021-06-10,994201,,,2021/06/10,7618.0
50,Rio Grande do Norte,Brazil,2021-06-10,1175755,,,2021/06/10,7620.0
51,Rio Grande do Sul,Brazil,2021-06-10,5129442,,,2021/06/10,7621.0
52,Rio de Janeiro,Brazil,2021-06-10,6177178,,,2021/06/10,7619.0
53,Rondonia,Brazil,2021-06-10,457165,,,2021/06/10,7622.0
54,Roraima,Brazil,2021-06-10,155663,,,2021/06/10,7623.0
55,Santa Catarina,Brazil,2021-06-10,2365300,,,2021/06/10,7624.0
56,Sao Paulo,Brazil,2021-06-10,16453738,,,2021/06/10,7625.0
57,Sergipe,Brazil,2021-06-10,613497,,,2021/06/10,7626.0
58,Tocantins,Brazil,2021-06-10,427318,,,2021/06/10,7627.0
59,,Brunei,2021-06-10,56135,43779.0,11306.0,2021/06/10,96.0
60,,Bulgaria,2021-06-10,1524541,851993.0,648541.0,2021/06/10,100.0
61,,Burma,2021-06-10,2994900,1772177.0,1222723.0,2021/06/10,104.0
62,,Cambodia,2021-06-10,5005581,2770433.0,2235148.0,2021/06/10,116.0
63,,Cameroon,2021-06-10,80445,66216.0,14229.0,2021/06/10,120.0
64,,Canada,2021-06-10,27257774,23670710.0,3184937.0,2021/06/10,124.0
65,Alberta,Canada,2021-06-10,3157862,,,2021/06/10,12401.0
66,British Columbia,Canada,2021-06-10,3749758,,,2021/06/10,12402.0
67,Manitoba,Canada,2021-06-10,974549,,,2021/06/10,12403.0
68,New Brunswick,Canada,2021-06-10,551125,,,2021/06/10,12404.0
69,Newfoundland and Labrador,Canada,2021-06-10,345743,,,2021/06/10,12405.0
70,Northwest Territories,Canada,2021-06-10,55078,,,2021/06/10,12406.0
71,Nova Scotia,Canada,2021-06-10,647604,,,2021/06/10,12407.0
72,Nunavut,Canada,2021-06-10,33311,,,2021/06/10,12416.0
73,Ontario,Canada,2021-06-10,10445119,,,2021/06/10,12408.0
74,Prince Edward Island,Canada,2021-06-10,104281,,,2021/06/10,12409.0
75,Quebec,Canada,2021-06-10,6309860,,,2021/06/10,12410.0
