,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
266,,Morocco,2021-06-11,16237673,9359017.0,6878656.0,2021/06/11,504.0
267,,Mozambique,2021-06-11,394930,320129.0,74801.0,2021/06/11,508.0
268,,Namibia,2021-06-11,96433,82845.0,13588.0,2021/06/11,516.0
269,,Nepal,2021-06-11,2936113,2244619.0,691494.0,2021/06/11,524.0
270,,Netherlands,2021-06-11,11395454,7759667.0,4041858.0,2021/06/11,528.0
271,,New Zealand,2021-06-11,775444,498670.0,276774.0,2021/06/11,554.0
272,,Nicaragua,2021-06-11,167500,167500.0,0.0,2021/06/11,558.0
273,,Nigeria,2021-06-11,2225765,1964095.0,261670.0,2021/06/11,566.0
274,,North Macedonia,2021-06-11,431174,254154.0,177020.0,2021/06/11,807.0
275,,Norway,2021-06-11,3158153,1889117.0,1269036.0,2021/06/11,578.0
276,,Oman,2021-06-11,296894,216549.0,80345.0,2021/06/11,512.0
277,,Pakistan,2021-06-11,9559910,7281817.0,2540238.0,2021/06/11,586.0
278,,Palau,2021-06-11,24557,,,2021/06/11,585.0
279,,Panama,2021-06-11,1164396,757307.0,407089.0,2021/06/11,591.0
280,,Papua New Guinea,2021-06-11,38176,38176.0,0.0,2021/06/11,598.0
281,,Paraguay,2021-06-11,448421,327971.0,79673.0,2021/06/11,600.0
282,,Peru,2021-06-11,4905795,3112369.0,1459235.0,2021/06/11,604.0
283,,Philippines,2021-06-11,6096208,4491948.0,1604260.0,2021/06/11,608.0
284,,Poland,2021-06-11,23628450,15168747.0,9204705.0,2021/06/11,616.0
285,Dolnoslaskie,Poland,2021-06-11,1900527,,,2021/06/11,61601.0
286,Kujawsko-pomorskie,Poland,2021-06-11,1229089,,,2021/06/11,61602.0
287,Lodzkie,Poland,2021-06-11,1562481,,,2021/06/11,61605.0
288,Lubelskie,Poland,2021-06-11,1150732,,,2021/06/11,61603.0
289,Lubuskie,Poland,2021-06-11,650844,,,2021/06/11,61604.0
290,Malopolskie,Poland,2021-06-11,1934729,,,2021/06/11,61606.0
291,Mazowieckie,Poland,2021-06-11,3644578,,,2021/06/11,61607.0
292,Opolskie,Poland,2021-06-11,590034,,,2021/06/11,61608.0
293,Podkarpackie,Poland,2021-06-11,1117950,,,2021/06/11,61609.0
294,Podlaskie,Poland,2021-06-11,738293,,,2021/06/11,61610.0
295,Pomorskie,Poland,2021-06-11,1566437,,,2021/06/11,61611.0
296,Slaskie,Poland,2021-06-11,2854963,,,2021/06/11,61612.0
297,Swietokrzyskie,Poland,2021-06-11,664521,,,2021/06/11,61613.0
298,Warminsko-mazurskie,Poland,2021-06-11,784066,,,2021/06/11,61614.0
299,Wielkopolskie,Poland,2021-06-11,2093920,,,2021/06/11,61615.0
300,Zachodniopomorskie,Poland,2021-06-11,1114561,,,2021/06/11,61616.0
301,,Portugal,2021-06-11,6600654,4325971.0,2274655.0,2021/06/11,620.0
302,,Qatar,2021-06-11,2748452,1572212.0,1176240.0,2021/06/11,634.0
303,,Romania,2021-06-11,8407762,4496033.0,4072855.0,2021/06/11,642.0
304,,Russia,2021-06-11,32381895,18119483.0,13833662.0,2021/06/11,643.0
305,,Rwanda,2021-06-11,400096,350400.0,49696.0,2021/06/11,646.0
306,,Saint Kitts and Nevis,2021-06-11,29628,21066.0,8562.0,2021/06/11,659.0
